id;name;|N|;|E|;avg(deg(n));|Ne|;cycles;|C|;|POSITIVE|;|ONCE|;|NEGATIVE|;|MAX_ONCE|;number_SCC;avg_SCC;CYC
23;23_easy_existing_workflow;23;27;2.35;1;4;4;0;1;1;2;5;4.60;6
24;24_easy_existing_workflow;14;16;2.29;1;3;4;1;1;1;1;8;1.75;4
25;25_easy_existing_workflow;25;32;2.56;1;4;4;0;1;2;1;4;6.25;9
26;26_easy_existing_workflow;13;16;2.46;1;4;3;1;2;0;0;3;4.33;5
27;27_easy_existing_workflow;30;35;2.33;5;0;2;1;0;1;0;30;1.00;7
28;28_easy_existing_workflow;17;25;2.94;1;4;2;1;0;0;1;17;1.00;10
29;29_easy_existing_workflow;21;26;2.48;1;4;4;0;2;1;1;3;7.00;7
30;30_easy_existing_workflow;29;42;2.90;2;2;3;1;1;1;0;26;1.12;15
31;31_easy_existing_workflow;25;33;2.64;1;2;4;1;1;1;1;19;1.32;10
32;32_easy_existing_workflow;17;23;2.71;1;7;4;0;2;2;0;3;5.67;8
33;33_easy_existing_workflow;11;12;2.18;2;1;2;0;2;0;0;10;1.10;3
34;34_easy_existing_workflow;14;16;2.29;1;0;3;2;1;0;0;14;1.00;4
35;35_easy_existing_workflow;21;27;2.57;1;6;3;1;1;1;0;3;7.00;8
36;36_easy_existing_workflow;28;34;2.43;5;3;4;1;1;1;1;18;1.56;8
37;37_easy_existing_workflow;13;18;2.77;1;2;3;0;1;0;2;11;1.18;7
38;38_easy_existing_workflow;21;27;2.57;1;1;3;1;1;0;1;19;1.11;8
39;39_easy_existing_workflow;12;13;2.17;1;2;3;0;3;0;0;6;2.00;3
40;40_easy_existing_workflow;26;44;3.38;1;11;4;2;0;2;0;4;6.50;20
41;41_easy_existing_workflow;20;57;5.70;1;23;4;2;0;2;0;3;6.67;39
42;42_easy_existing_workflow;13;17;2.62;1;2;2;0;1;0;1;11;1.18;6
43;43_easy_existing_workflow;21;28;2.67;1;1;4;2;2;0;0;18;1.17;9
44;44_easy_existing_workflow;15;20;2.67;1;3;4;1;1;1;1;3;5.00;7
45;45_easy_existing_workflow;18;20;2.22;1;2;3;1;2;0;0;10;1.80;4
46;46_easy_existing_workflow;25;30;2.40;1;4;3;1;1;1;0;10;2.50;7
47;47_easy_existing_workflow;29;34;2.34;1;2;4;0;2;1;1;8;3.63;7
48;48_easy_existing_workflow;17;20;2.35;1;2;2;0;1;0;1;11;1.55;5
49;49_easy_existing_workflow;21;22;2.10;4;0;4;2;2;0;0;21;1.00;3
50;50_easy_existing_workflow;13;13;2.00;2;1;3;1;1;1;0;12;1.08;2
51;51_easy_existing_workflow;19;24;2.53;4;5;2;1;0;1;0;14;1.36;7
52;52_easy_existing_workflow;26;37;2.85;4;8;4;2;1;0;1;17;1.53;13
53;53_easy_existing_workflow;28;37;2.64;5;9;2;0;1;0;1;16;1.75;11
54;54_easy_existing_workflow;17;21;2.47;1;0;3;0;2;0;1;17;1.00;6
55;55_easy_existing_workflow;25;30;2.40;4;3;4;2;1;0;1;18;1.39;7
56;56_easy_existing_workflow;12;22;3.67;1;9;4;1;1;1;1;3;4.00;12
57;57_easy_existing_workflow;10;11;2.20;1;0;3;1;1;1;0;10;1.00;3
58;58_easy_existing_workflow;17;22;2.59;1;3;4;2;1;0;1;7;2.43;7
59;59_easy_existing_workflow;19;21;2.21;2;0;3;0;3;0;0;19;1.00;4
60;60_easy_existing_workflow;26;30;2.31;3;0;1;0;0;1;0;26;1.00;6
61;61_easy_existing_workflow;16;22;2.75;1;5;3;0;2;0;1;9;1.78;8
62;62_easy_existing_workflow;17;18;2.12;5;0;4;2;0;2;0;17;1.00;3
63;63_easy_existing_workflow;18;22;2.44;1;4;3;1;0;2;0;9;2.00;6
64;64_easy_existing_workflow;10;14;2.80;1;3;3;0;1;1;1;3;3.33;6
65;65_easy_existing_workflow;11;15;2.73;2;3;4;2;1;0;1;9;1.22;6
66;66_easy_existing_workflow;12;16;2.67;1;5;4;0;2;0;2;3;4.00;6
67;67_easy_existing_workflow;24;27;2.25;5;0;3;1;1;0;1;24;1.00;5
68;68_easy_existing_workflow;20;29;2.90;1;3;2;0;0;1;1;16;1.25;11
69;69_easy_existing_workflow;17;23;2.71;3;4;3;1;0;1;1;6;2.83;8
70;70_easy_existing_workflow;10;14;2.80;2;0;3;0;2;0;1;10;1.00;6
71;71_easy_existing_workflow;24;32;2.67;3;7;4;1;1;1;1;16;1.50;10
72;72_easy_existing_workflow;11;14;2.55;2;3;3;1;1;0;1;8;1.38;5
73;73_easy_existing_cfg;24;35;2.92;5;3;2;0;2;0;0;20;1.20;13
74;74_easy_existing_cfg;19;25;2.63;1;2;2;0;0;2;0;8;2.38;8
75;75_easy_existing_cfg;22;27;2.45;1;5;3;2;0;0;1;9;2.44;7
76;76_easy_existing_cfg;19;25;2.63;1;0;2;0;0;1;1;19;1.00;8
77;77_easy_existing_cfg;19;25;2.63;1;1;2;0;1;0;1;12;1.58;8
78;78_easy_existing_cfg;29;37;2.55;1;2;2;1;1;0;0;9;3.22;10
79;79_easy_existing_cfg;17;23;2.71;1;0;3;1;0;1;1;17;1.00;8
80;80_easy_existing_cfg;19;25;2.63;1;2;3;2;1;0;0;8;2.38;8
81;81_easy_existing_cfg;22;30;2.73;1;3;2;0;1;0;1;4;5.50;10
82;82_easy_existing_cfg;28;46;3.29;1;0;2;1;1;0;0;28;1.00;20
83;83_easy_existing_cfg;17;21;2.47;1;2;4;1;0;2;1;10;1.70;6
84;84_easy_existing_cfg;14;18;2.57;1;0;1;0;0;0;1;14;1.00;6
85;85_easy_existing_cfg;26;36;2.77;1;1;2;1;0;0;1;5;5.20;12
86;86_easy_existing_cfg;13;17;2.62;1;1;1;0;0;0;1;5;2.60;6
87;87_easy_existing_cfg;22;27;2.45;1;4;2;0;2;0;0;13;1.69;7
88;88_easy_existing_cfg;16;23;2.88;1;1;3;1;1;0;1;6;2.67;9
89;89_easy_existing_cfg;11;17;3.09;1;0;1;1;0;0;0;11;1.00;8
90;90_easy_existing_cfg;25;34;2.72;1;3;2;1;0;1;0;13;1.92;11
91;91_easy_artificial;12;15;2.50;5;0;2;0;1;0;1;12;1.00;5
92;92_easy_artificial;27;29;2.15;13;0;4;0;0;2;2;27;1.00;4
93;93_easy_artificial;24;35;2.92;6;1;1;0;1;0;0;22;1.09;13
94;94_easy_artificial;17;28;3.29;4;1;1;1;0;0;0;12;1.42;13
95;95_easy_artificial;18;30;3.33;2;6;3;0;0;0;3;7;2.57;14
96;96_easy_artificial;28;37;2.64;13;1;4;0;1;2;1;25;1.12;11
97;97_easy_artificial;12;16;2.67;4;0;1;0;1;0;0;12;1.00;6
98;98_easy_artificial;23;29;2.52;10;0;3;2;1;0;0;23;1.00;8
99;99_easy_artificial;23;26;2.26;11;0;3;1;1;1;0;23;1.00;5
100;100_easy_artificial;23;23;2.00;12;0;4;0;3;1;0;23;1.00;2
101;101_medium_existing_workflow;37;51;2.76;2;1;3;0;3;0;0;5;7.40;16
102;102_medium_existing_workflow;31;36;2.32;5;3;3;1;1;1;0;16;1.94;7
103;103_medium_existing_workflow;31;35;2.26;5;1;4;2;1;1;0;30;1.03;6
104;104_medium_existing_workflow;31;39;2.52;1;5;4;2;1;1;0;18;1.72;10
105;105_medium_existing_workflow;33;40;2.42;2;7;3;0;2;1;0;17;1.94;9
106;106_medium_existing_workflow;35;54;3.09;1;7;4;2;1;1;0;10;3.50;21
107;107_medium_existing_workflow;39;126;6.46;1;61;4;2;0;2;0;3;13.00;89
108;108_medium_existing_workflow;35;68;3.89;1;25;4;1;1;2;0;10;3.50;35
109;109_medium_existing_workflow;55;103;3.75;1;36;4;2;0;2;0;3;18.33;50
110;110_medium_existing_workflow;37;49;2.65;1;0;5;2;2;0;1;37;1.00;14
111;111_medium_existing_workflow;35;45;2.57;1;10;3;1;1;1;0;4;8.75;12
112;112_medium_existing_workflow;32;37;2.31;3;2;3;0;2;0;1;26;1.23;7
113;113_medium_existing_cfg;43;82;3.81;5;6;3;1;1;0;1;22;1.95;41
114;114_medium_existing_cfg;37;51;2.76;1;4;3;1;1;0;1;29;1.28;16
115;115_medium_existing_cfg;38;55;2.89;1;0;3;0;1;1;1;38;1.00;19
116;116_medium_existing_cfg;40;56;2.80;1;3;3;1;0;2;0;34;1.18;18
117;117_medium_existing_cfg;48;93;3.88;1;7;4;3;0;0;1;39;1.23;47
118;118_medium_existing_cfg;39;50;2.56;1;7;3;0;1;0;2;17;2.29;13
119;119_medium_existing_cfg;47;69;2.94;1;3;4;1;2;0;1;4;11.75;24
120;120_medium_existing_cfg;32;48;3.00;1;1;3;0;0;2;1;19;1.68;18
121;121_medium_existing_cfg;35;47;2.69;1;4;3;1;1;1;0;21;1.67;14
122;122_medium_existing_cfg;48;63;2.63;1;8;4;1;0;1;2;24;2.00;17
123;123_medium_existing_cfg;32;43;2.69;1;6;3;2;1;0;0;10;3.20;13
124;124_medium_existing_cfg;48;68;2.83;1;0;4;2;1;0;1;48;1.00;22
125;125_medium_existing_cfg;54;78;2.89;1;3;4;0;1;3;0;15;3.60;26
126;126_medium_existing_cfg;55;74;2.69;1;10;4;1;2;1;0;35;1.57;21
127;127_medium_existing_cfg;48;66;2.75;1;6;4;1;0;1;2;30;1.60;20
128;128_medium_existing_cfg;39;55;2.82;1;3;3;1;1;0;1;28;1.39;18
129;129_medium_existing_cfg;60;83;2.77;1;7;4;1;1;1;1;28;2.14;25
130;130_medium_existing_cfg;39;52;2.67;1;4;3;1;1;0;1;10;3.90;15
131;131_medium_existing_cfg;38;58;3.05;1;2;3;0;1;0;2;12;3.17;22
132;132_medium_existing_cfg;60;80;2.67;1;5;4;1;1;1;1;44;1.36;22
133;133_medium_existing_cfg;36;50;2.78;1;4;3;0;3;0;0;15;2.40;16
134;134_medium_existing_cfg;38;51;2.68;1;5;3;0;1;1;1;7;5.43;15
135;135_medium_existing_cfg;43;61;2.84;1;2;3;0;2;0;1;19;2.26;20
136;136_medium_existing_cfg;43;60;2.79;1;1;3;0;0;1;2;8;5.38;19
137;137_medium_existing_cfg;33;50;3.03;1;1;3;0;2;0;1;21;1.57;19
138;138_medium_existing_cfg;59;98;3.32;1;0;4;0;2;0;2;59;1.00;41
139;139_medium_existing_cfg;43;60;2.79;1;3;3;2;0;0;1;37;1.16;19
140;140_medium_existing_cfg;59;74;2.51;1;13;4;0;4;0;0;33;1.79;17
141;141_medium_existing_cfg;54;75;2.78;1;8;4;0;2;1;1;38;1.42;23
142;142_medium_existing_cfg;52;77;2.96;1;0;4;2;1;1;0;52;1.00;27
143;143_medium_existing_cfg;54;85;3.15;1;1;4;1;1;0;2;13;4.15;33
144;144_medium_existing_cfg;31;42;2.71;1;1;3;1;0;1;1;29;1.07;13
145;145_medium_existing_cfg;37;52;2.81;1;2;3;1;0;1;1;7;5.29;17
146;146_medium_existing_cfg;32;44;2.75;1;2;3;1;0;1;1;13;2.46;14
147;147_medium_existing_cfg;40;52;2.60;1;7;3;1;0;1;1;20;2.00;14
148;148_medium_existing_cfg;33;45;2.73;1;4;3;0;1;2;0;18;1.83;14
149;149_medium_existing_cfg;59;78;2.64;1;12;4;1;1;0;2;30;1.97;21
150;150_medium_existing_cfg;46;58;2.52;1;11;4;0;0;2;2;13;3.54;14
151;151_medium_existing_cfg;36;46;2.56;1;9;3;0;1;0;2;8;4.50;12
152;152_medium_existing_cfg;39;58;2.97;1;2;3;1;0;0;2;31;1.26;21
153;153_medium_existing_cfg;39;51;2.62;1;6;3;1;2;0;0;6;6.50;14
154;154_medium_existing_cfg;52;74;2.85;1;9;4;0;0;2;2;14;3.71;24
155;155_medium_existing_cfg;40;55;2.75;1;3;3;0;2;1;0;15;2.67;17
156;156_medium_existing_cfg;42;56;2.67;1;6;3;1;0;1;1;8;5.25;16
157;157_medium_existing_cfg;34;47;2.76;1;4;3;0;1;1;1;23;1.48;15
158;158_medium_existing_cfg;47;65;2.77;1;4;4;1;0;1;2;20;2.35;20
159;159_medium_existing_cfg;54;72;2.67;1;14;4;1;3;0;0;10;5.40;20
160;160_medium_existing_cfg;48;63;2.63;1;0;4;2;2;0;0;48;1.00;17
161;161_medium_existing_cfg;46;64;2.78;1;6;4;0;2;2;0;16;2.88;20
162;162_medium_existing_cfg;43;66;3.07;1;0;3;0;1;0;2;43;1.00;25
163;163_medium_existing_cfg;57;83;2.91;1;3;4;2;2;0;0;51;1.12;28
164;164_medium_existing_cfg;39;55;2.82;1;3;3;0;1;2;0;25;1.56;18
165;165_medium_existing_cfg;36;53;2.94;1;2;3;0;0;1;2;13;2.77;19
166;166_medium_existing_cfg;52;71;2.73;1;5;4;1;1;1;1;39;1.33;21
167;167_medium_existing_cfg;31;44;2.84;1;2;3;0;3;0;0;12;2.58;15
168;168_medium_existing_cfg;51;72;2.82;1;4;4;2;2;0;0;29;1.76;23
169;169_medium_existing_cfg;42;59;2.81;1;5;3;2;0;1;0;28;1.50;19
170;170_medium_existing_cfg;40;75;3.75;1;0;3;0;1;2;0;40;1.00;37
171;171_medium_existing_cfg;33;49;2.97;1;1;3;0;1;0;2;22;1.50;18
172;172_medium_existing_cfg;42;58;2.76;1;2;3;1;0;1;1;13;3.23;18
173;173_medium_existing_cfg;33;42;2.55;1;2;3;0;2;1;0;29;1.14;11
174;174_medium_existing_cfg;35;49;2.80;1;2;3;1;0;1;1;9;3.89;16
175;175_medium_existing_cfg;50;68;2.72;1;5;4;1;1;1;1;36;1.39;20
176;176_medium_existing_cfg;38;55;2.89;1;4;3;0;0;2;1;17;2.24;19
177;177_medium_existing_cfg;54;80;2.96;1;5;4;1;0;1;2;24;2.25;28
178;178_medium_existing_cfg;42;59;2.81;1;4;3;0;0;0;3;22;1.91;19
179;179_medium_existing_cfg;51;68;2.67;1;8;4;2;0;0;2;8;6.38;19
180;180_medium_existing_cfg;43;55;2.56;1;10;3;1;1;1;0;14;3.07;14
181;181_medium_existing_cfg;39;53;2.72;1;3;3;1;1;0;1;32;1.22;16
182;182_medium_existing_cfg;54;78;2.89;1;8;4;3;0;0;1;15;3.60;26
183;183_medium_existing_cfg;46;68;2.96;1;1;4;1;0;3;0;12;3.83;24
184;184_medium_existing_cfg;39;56;2.87;1;2;3;1;0;1;1;11;3.55;19
185;185_medium_existing_cfg;46;67;2.91;1;2;4;2;0;1;1;14;3.29;23
186;186_medium_existing_cfg;34;50;2.94;1;0;3;1;1;0;1;34;1.00;18
187;187_medium_existing_cfg;44;63;2.86;1;6;3;1;1;0;1;10;4.40;21
188;188_medium_existing_cfg;36;51;2.83;1;5;3;1;2;0;0;7;5.14;17
189;189_medium_existing_cfg;39;57;2.92;1;3;3;1;2;0;0;7;5.57;20
190;190_medium_existing_cfg;46;65;2.83;1;3;4;0;0;0;4;20;2.30;21
191;191_medium_artificial;36;61;3.39;7;6;4;0;0;2;2;28;1.29;27
192;192_medium_artificial;51;78;3.06;14;4;3;1;1;1;0;35;1.46;29
193;193_medium_artificial;36;50;2.78;10;2;4;0;2;1;1;31;1.16;16
194;194_medium_artificial;59;109;3.69;13;11;4;0;0;1;3;26;2.27;52
195;195_medium_artificial;59;94;3.19;17;5;3;2;0;1;0;30;1.97;37
196;196_medium_artificial;48;65;2.71;15;3;4;0;1;1;2;38;1.26;19
197;197_medium_artificial;56;92;3.29;12;11;4;0;1;2;1;35;1.60;38
198;198_medium_artificial;58;94;3.24;10;6;4;1;1;1;1;32;1.81;38
199;199_medium_artificial;57;68;2.39;24;2;4;1;1;2;0;52;1.10;13
200;200_medium_artificial;58;99;3.41;12;5;4;1;1;1;1;45;1.29;43
201;201_hard_existing_workflow;62;135;4.35;1;62;10;8;0;2;0;3;20.67;75
202;202_hard_existing_workflow;76;185;4.87;1;60;5;3;0;2;0;3;25.33;111
203;203_hard_existing_cfg;76;110;2.89;1;2;6;2;2;1;1;72;1.06;36
204;204_hard_existing_cfg;61;97;3.18;1;0;5;3;1;1;0;61;1.00;38
205;205_hard_existing_cfg;68;98;2.88;1;2;5;2;2;1;0;41;1.66;32
206;206_hard_existing_cfg;85;120;2.82;1;9;6;3;1;0;2;23;3.70;37
207;207_hard_existing_cfg;100;141;2.82;1;11;7;5;0;1;1;22;4.55;43
208;208_hard_existing_cfg;75;97;2.59;1;3;5;1;2;2;0;9;8.33;24
209;209_hard_existing_cfg;87;121;2.78;1;8;6;1;1;3;1;50;1.74;36
210;210_hard_existing_cfg;67;94;2.81;1;3;5;0;2;0;3;55;1.22;29
211;211_hard_existing_cfg;91;135;2.97;1;4;7;3;2;0;2;27;3.37;46
212;212_hard_existing_cfg;65;93;2.86;1;7;5;2;2;0;1;24;2.71;30
213;213_hard_existing_cfg;88;115;2.61;1;18;6;1;1;1;3;43;2.05;29
214;214_hard_existing_cfg;108;164;3.04;1;4;8;1;5;2;0;48;2.25;58
215;215_hard_existing_cfg;111;141;2.54;1;24;8;2;3;1;2;13;8.54;32
216;216_hard_existing_cfg;81;108;2.67;1;8;6;3;3;0;0;57;1.42;29
217;217_hard_existing_cfg;99;152;3.07;1;0;7;4;2;0;1;99;1.00;55
218;218_hard_existing_cfg;83;126;3.04;1;4;6;4;2;0;0;46;1.80;45
219;219_hard_existing_cfg;70;94;2.69;1;9;5;1;0;2;2;22;3.18;26
220;220_hard_existing_cfg;77;116;3.01;1;1;6;2;1;2;1;71;1.08;41
221;221_hard_existing_cfg;67;100;2.99;1;1;5;2;1;0;2;53;1.26;35
222;222_hard_existing_cfg;61;88;2.89;1;2;5;1;1;1;2;56;1.09;29
223;223_hard_existing_cfg;98;148;3.02;1;1;7;1;1;4;1;53;1.85;52
224;224_hard_existing_cfg;66;91;2.76;1;11;5;1;2;1;1;18;3.67;27
225;225_hard_existing_cfg;61;82;2.69;1;3;5;0;2;2;1;34;1.79;23
226;226_hard_existing_cfg;63;85;2.70;1;7;5;4;1;0;0;18;3.50;24
227;227_hard_existing_cfg;62;90;2.90;1;2;5;3;0;1;1;8;7.75;30
228;228_hard_existing_cfg;62;89;2.87;1;2;5;2;1;1;1;14;4.43;29
229;229_hard_existing_cfg;88;123;2.80;1;7;6;1;1;1;3;34;2.59;37
230;230_hard_existing_cfg;83;118;2.84;1;0;6;0;2;1;3;83;1.00;37
231;231_hard_existing_cfg;69;90;2.61;1;0;5;2;1;1;1;69;1.00;23
232;232_hard_existing_cfg;80;124;3.10;1;6;6;1;0;1;4;55;1.45;46
233;233_hard_existing_cfg;67;91;2.72;1;1;5;1;1;1;2;47;1.43;26
234;234_hard_existing_cfg;110;157;2.85;1;6;8;2;4;0;2;98;1.12;49
235;235_hard_existing_cfg;88;116;2.64;1;16;6;0;2;2;2;10;8.80;30
236;236_hard_existing_cfg;82;103;2.51;1;20;6;2;1;1;2;30;2.73;23
237;237_hard_existing_cfg;70;95;2.71;1;6;5;2;1;2;0;35;2.00;27
238;238_hard_existing_cfg;102;136;2.67;1;18;7;2;2;1;2;21;4.86;36
239;239_hard_existing_cfg;95;138;2.91;1;2;7;4;2;1;0;89;1.07;45
240;240_hard_existing_cfg;67;92;2.75;1;2;5;0;4;0;1;62;1.08;27
241;241_hard_existing_cfg;66;97;2.94;1;4;5;1;3;0;1;20;3.30;33
242;242_hard_existing_cfg;62;100;3.23;1;1;5;0;2;3;0;7;8.86;40
243;243_hard_existing_cfg;65;105;3.23;1;1;5;2;0;0;3;5;13.00;42
244;244_hard_existing_cfg;67;98;2.93;1;3;5;1;2;2;0;53;1.26;33
245;245_hard_existing_cfg;96;146;3.04;1;4;7;3;2;1;1;23;4.17;52
246;246_hard_existing_cfg;97;127;2.62;1;1;7;3;1;2;1;95;1.02;32
247;247_hard_existing_cfg;79;104;2.63;1;0;6;1;1;3;1;79;1.00;27
248;248_hard_existing_cfg;73;95;2.60;1;1;5;1;1;1;2;71;1.03;24
249;249_hard_existing_cfg;63;82;2.60;1;0;5;2;1;0;2;63;1.00;21
250;250_hard_existing_cfg;70;94;2.69;1;13;5;2;2;1;0;35;2.00;26
251;251_hard_existing_cfg;86;119;2.77;1;12;6;1;2;1;2;57;1.51;35
252;252_hard_existing_cfg;71;91;2.56;1;13;5;1;4;0;0;5;14.20;22
253;253_hard_existing_cfg;77;110;2.86;1;11;6;1;2;2;1;51;1.51;35
254;254_hard_existing_cfg;71;95;2.68;1;19;5;2;1;1;1;10;7.10;26
255;255_hard_existing_cfg;70;88;2.51;1;17;5;0;0;3;2;5;14.00;20
256;256_hard_existing_cfg;91;126;2.77;1;20;7;3;1;1;2;11;8.27;37
257;257_hard_existing_cfg;66;91;2.76;1;15;5;1;1;3;0;11;6.00;27
258;258_hard_existing_cfg;90;119;2.64;1;0;6;2;2;0;2;90;1.00;31
259;259_hard_existing_cfg;72;95;2.64;1;0;5;2;3;0;0;72;1.00;25
260;260_hard_existing_cfg;84;111;2.64;1;0;6;2;0;1;3;84;1.00;29
261;261_hard_existing_cfg;71;94;2.65;1;4;5;2;2;0;1;33;2.15;25
262;262_hard_existing_cfg;74;100;2.70;1;5;5;1;1;1;2;39;1.90;28
263;263_hard_existing_cfg;64;95;2.97;1;0;5;0;4;1;0;64;1.00;33
264;264_hard_existing_cfg;65;98;3.02;1;1;5;1;2;1;1;62;1.05;35
265;265_hard_existing_cfg;100;147;2.94;1;2;7;4;0;2;1;34;2.94;49
266;266_hard_existing_cfg;83;120;2.89;1;6;6;0;2;1;3;13;6.38;39
267;267_hard_existing_cfg;65;85;2.62;1;0;5;0;4;0;1;65;1.00;22
268;268_hard_existing_cfg;108;168;3.11;1;1;8;6;0;1;1;81;1.33;62
269;269_hard_existing_cfg;69;96;2.78;1;9;5;0;4;0;1;36;1.92;29
270;270_hard_existing_cfg;93;132;2.84;1;6;7;4;2;1;0;34;2.74;41
271;271_hard_existing_cfg;97;151;3.11;1;0;7;1;1;2;3;97;1.00;56
272;272_hard_existing_cfg;62;94;3.03;1;0;5;2;1;0;2;62;1.00;34
273;273_hard_existing_cfg;86;127;2.95;1;7;6;1;2;0;3;30;2.87;43
274;274_hard_existing_cfg;82;123;3.00;1;2;6;3;1;2;0;49;1.67;43
275;275_hard_existing_cfg;74;110;2.97;1;2;5;2;1;1;1;61;1.21;38
276;276_hard_existing_cfg;63;85;2.70;1;7;5;2;0;1;2;15;4.20;24
277;277_hard_existing_cfg;106;157;2.96;1;9;8;2;2;1;3;60;1.77;53
278;278_hard_existing_cfg;61;83;2.72;1;10;5;1;4;0;0;36;1.69;24
279;279_hard_existing_cfg;112;158;2.82;1;4;8;2;1;1;4;35;3.20;48
280;280_hard_existing_cfg;76;114;3.00;1;6;6;1;1;0;4;38;2.00;40
281;281_hard_existing_cfg;115;174;3.03;1;6;8;2;0;2;4;73;1.58;61
282;282_hard_existing_cfg;62;100;3.23;1;0;5;1;0;1;3;62;1.00;40
283;283_hard_existing_cfg;90;141;3.13;1;0;6;1;1;2;2;90;1.00;53
284;284_hard_existing_cfg;63;104;3.30;1;1;5;1;1;1;2;17;3.71;43
285;285_hard_existing_cfg;118;192;3.25;1;4;8;0;1;2;5;83;1.42;76
286;286_hard_existing_cfg;73;106;2.90;1;3;5;1;0;1;3;19;3.84;35
287;287_hard_existing_cfg;85;124;2.92;1;2;6;2;0;0;4;79;1.08;41
288;288_hard_existing_cfg;86;117;2.72;1;4;6;0;4;1;1;17;5.06;33
289;289_hard_existing_cfg;63;103;3.27;1;0;5;2;0;3;0;63;1.00;42
290;290_hard_existing_cfg;76;107;2.82;1;8;6;2;2;2;0;28;2.71;33
291;291_hard_artificial;100;129;2.58;33;3;7;3;1;1;2;87;1.15;31
292;292_hard_artificial;119;211;3.55;27;11;7;2;1;2;2;69;1.72;94
293;293_hard_artificial;74;124;3.35;17;5;7;2;1;3;1;56;1.32;52
294;294_hard_artificial;95;134;2.82;35;5;7;1;2;1;3;73;1.30;41
295;295_hard_artificial;96;157;3.27;22;17;8;3;2;2;1;40;2.40;63
296;296_hard_artificial;61;115;3.77;10;16;7;2;3;1;1;20;3.05;56
297;297_hard_artificial;100;144;2.88;40;1;5;2;1;1;1;90;1.11;46
298;298_hard_artificial;88;98;2.23;47;1;9;2;2;3;2;84;1.05;12
299;299_hard_artificial;93;149;3.20;27;3;5;1;1;1;2;85;1.09;58
300;300_hard_artificial;83;135;3.25;22;7;9;1;2;3;3;66;1.26;54
