Instance name;Instance identification;Repository url;Function declaration
135_medium_existing_cfg;filament - double BetaIncompleteInvImpl(const double p, const double q, const double beta, const dou;https://github.com/google/filament.git;double BetaIncompleteInvImpl(const double p, const double q, const double beta, const dou
136_medium_existing_cfg;filament - Pass::Status SetSpecConstantDefaultValuePass::Process();https://github.com/google/filament.git;Pass::Status SetSpecConstantDefaultValuePass::Process()
137_medium_existing_cfg;filament - spv_result_t BuiltInsValidator::ValidatePointSizeAtReference(const Decoration &decoration;https://github.com/google/filament.git;spv_result_t BuiltInsValidator::ValidatePointSizeAtReference(const Decoration &decoration
138_medium_existing_cfg;filament - std::tuple<TBasicType, TBasicType> TIntermediate::getConversionDestinationType(TBasicType;https://github.com/google/filament.git;std::tuple<TBasicType, TBasicType> TIntermediate::getConversionDestinationType(TBasicType
139_medium_existing_cfg;filament - void ImGui::TableBeginApplyRequests(ImGuiTable *table);https://github.com/google/filament.git;void ImGui::TableBeginApplyRequests(ImGuiTable *table)
140_medium_existing_cfg;filament - void Module::ForEachInst(const std::function<void (const Instruction *)> &f, bool run_on_;https://github.com/google/filament.git;void Module::ForEachInst(const std::function<void (const Instruction *)> &f, bool run_on_
141_medium_existing_cfg;flatbuffers - static void PrintHeaderClientMethod(grpc_generator::Printer *printer, const grpc_gener;https://github.com/google/flatbuffers.git;static void PrintHeaderClientMethod(grpc_generator::Printer *printer, const grpc_gener
142_medium_existing_cfg;hermes - NeedParens GenJS::needParens(Node *parent, Node *child, ChildPos childPosition);https://github.com/facebook/hermes.git;NeedParens GenJS::needParens(Node *parent, Node *child, ChildPos childPosition)
143_medium_existing_cfg;hermes - Optional<ESTree::ClassBodyNode *> JSParserImpl::parseClassBody(SMLoc startLoc);https://github.com/facebook/hermes.git;Optional<ESTree::ClassBodyNode *> JSParserImpl::parseClassBody(SMLoc startLoc)
144_medium_existing_cfg;kuzu - std::pair<bool, bool> NullMask::getMinMax(const uint64_t *nullEntries, uint64_t offset, uint6;https://github.com/kuzudb/kuzu.git;std::pair<bool, bool> NullMask::getMinMax(const uint64_t *nullEntries, uint64_t offset, uint6
145_medium_existing_cfg;librealsense - string auto_complete::get_line(std::function<bool ()> to_stop = []() {});https://github.com/IntelRealSense/librealsense.git;string auto_complete::get_line(std::function<bool ()> to_stop = []() {})
146_medium_existing_cfg;librealsense - void metrics_recorder::record_frames(const frameset &frames);https://github.com/IntelRealSense/librealsense.git;void metrics_recorder::record_frames(const frameset &frames)
147_medium_existing_cfg;mfem - void Hybridization::Init(const Array<int> &ess_tdof_list);https://github.com/mfem/mfem.git;void Hybridization::Init(const Array<int> &ess_tdof_list)
148_medium_existing_cfg;mfem - void Mesh::RemoveInternalBoundaries();https://github.com/mfem/mfem.git;void Mesh::RemoveInternalBoundaries()
149_medium_existing_cfg;mfem - void Mesh::RemoveUnusedVertices();https://github.com/mfem/mfem.git;void Mesh::RemoveUnusedVertices()
150_medium_existing_cfg;mfem - void Mesh::ScaleSubdomains(real_t sf);https://github.com/mfem/mfem.git;void Mesh::ScaleSubdomains(real_t sf)
151_medium_existing_cfg;mfem - void NeoHookeanModel::AssembleH(const DenseMatrix &J, const DenseMatrix &DS, const real_t wei;https://github.com/mfem/mfem.git;void NeoHookeanModel::AssembleH(const DenseMatrix &J, const DenseMatrix &DS, const real_t wei
152_medium_existing_cfg;MNN - Session *Interpreter::createMultiPathSession(const std::vector<ScheduleConfig> &configs, const;https://github.com/alibaba/MNN.git;Session *Interpreter::createMultiPathSession(const std::vector<ScheduleConfig> &configs, const
153_medium_existing_cfg;MNN - static void MNNSumByAxisLForMatmul_A(float *dest, int8_t *source, const float *scale, ssize_t ;https://github.com/alibaba/MNN.git;static void MNNSumByAxisLForMatmul_A(float *dest, int8_t *source, const float *scale, ssize_t 
154_medium_existing_cfg;MNN - void StaticModule::resetInputOutputs();https://github.com/alibaba/MNN.git;void StaticModule::resetInputOutputs()
155_medium_existing_cfg;mold - template<> static std::vector<GotEntry<PPC32>> get_got_entries<mold::PPC32>(Context<PPC32> &c;https://github.com/rui314/mold.git;template<> static std::vector<GotEntry<PPC32>> get_got_entries<mold::PPC32>(Context<PPC32> &c
156_medium_existing_cfg;mujoco - static inline void IntSort(int *arr, int *buf, int n, void *context);https://github.com/google-deepmind/mujoco.git;static inline void IntSort(int *arr, int *buf, int n, void *context)
157_medium_existing_cfg;ncnn - int Deconvolution1D::forward(const std::vector<Mat> &bottom_blobs, std::vector<Mat> &top_blob;https://github.com/Tencent/ncnn.git;int Deconvolution1D::forward(const std::vector<Mat> &bottom_blobs, std::vector<Mat> &top_blob
158_medium_existing_cfg;ncnn - static int gemm_AT_arm(const Mat &AT, const Mat &B, const Mat &C, Mat &top_blob, int broadcas;https://github.com/Tencent/ncnn.git;static int gemm_AT_arm(const Mat &AT, const Mat &B, const Mat &C, Mat &top_blob, int broadcas
159_medium_existing_cfg;ncnn - void pack_A_tile(const Mat &A, Mat &AT, int i, int max_ii, int k, int max_kk);https://github.com/Tencent/ncnn.git;void pack_A_tile(const Mat &A, Mat &AT, int i, int max_ii, int k, int max_kk)
160_medium_existing_cfg;ninja - void StatTest_Simple_Test::TestBody();https://github.com/ninja-build/ninja.git;void StatTest_Simple_Test::TestBody()
161_medium_existing_cfg;oneDNN - void jit_brgemm_kernel_t::apply_compensation(int bd_block, int ld_block2, bool is_ld_tail);https://github.com/uxlfoundation/oneDNN.git;void jit_brgemm_kernel_t::apply_compensation(int bd_block, int ld_block2, bool is_ld_tail)
162_medium_existing_cfg;Open3D - bool ImGui::BeginDragDropSource(ImGuiDragDropFlags flags = 0);https://github.com/isl-org/Open3D.git;bool ImGui::BeginDragDropSource(ImGuiDragDropFlags flags = 0)
163_medium_existing_cfg;osquery - DescribeInstanceAttributeResponse &DescribeInstanceAttributeResponse::operator=(const Aws:;https://github.com/osquery/osquery.git;DescribeInstanceAttributeResponse &DescribeInstanceAttributeResponse::operator=(const Aws:
164_medium_existing_cfg;osquery - Status DBImpl::HandleWriteBufferManagerFlush(WriteContext *write_context);https://github.com/osquery/osquery.git;Status DBImpl::HandleWriteBufferManagerFlush(WriteContext *write_context)
165_medium_existing_cfg;osquery - Status DBImpl::WaitForFlushMemTables(const autovector<ColumnFamilyData *> &cfds, const aut;https://github.com/osquery/osquery.git;Status DBImpl::WaitForFlushMemTables(const autovector<ColumnFamilyData *> &cfds, const aut
166_medium_existing_cfg;osquery - std::string VersionEdit::DebugString(bool hex_key = false) const;https://github.com/osquery/osquery.git;std::string VersionEdit::DebugString(bool hex_key = false) const
167_medium_existing_cfg;osquery - void VersionEditHandlerBase::Iterate(log::Reader &reader, Status *log_read_status);https://github.com/osquery/osquery.git;void VersionEditHandlerBase::Iterate(log::Reader &reader, Status *log_read_status)
168_medium_existing_cfg;PositionBasedDynamics - void ImGui::DockBuilderRemoveNodeChildNodes(ImGuiID root_id;https://github.com/InteractiveComputerGraphics/PositionBasedDynamics.git;void ImGui::DockBuilderRemoveNodeChildNodes(ImGuiID root_id
169_medium_existing_cfg;PositionBasedDynamics - void ImGui::DockNodeTreeUpdateSplitter(ImGuiDockNode *node);https://github.com/InteractiveComputerGraphics/PositionBasedDynamics.git;void ImGui::DockNodeTreeUpdateSplitter(ImGuiDockNode *node)
170_medium_existing_cfg;root - bool clang::isOpenMPLoopDirective(OpenMPDirectiveKind DKind);https://github.com/root-project/root.git;bool clang::isOpenMPLoopDirective(OpenMPDirectiveKind DKind)
171_medium_existing_cfg;root - double RooNLLVar::evaluatePartition(std::size_t firstEvent, std::size_t lastEvent, std::size_;https://github.com/root-project/root.git;double RooNLLVar::evaluatePartition(std::size_t firstEvent, std::size_t lastEvent, std::size_
172_medium_existing_cfg;root - void convertContext(std::optional<ContextID> ParentContextID, const Class &C, ContextKind Kin;https://github.com/root-project/root.git;void convertContext(std::optional<ContextID> ParentContextID, const Class &C, ContextKind Kin
173_medium_existing_cfg;thrift - void t_delphi_generator::generate_service_server(t_service *tservice);https://github.com/apache/thrift.git;void t_delphi_generator::generate_service_server(t_service *tservice)
174_medium_existing_cfg;TrinityCore - const char *soap_wchar2s(struct soap *soap, const wchar_t *s);https://github.com/TrinityCore/TrinityCore.git;const char *soap_wchar2s(struct soap *soap, const wchar_t *s)
175_medium_existing_cfg;TrinityCore - dtStatus dtNavMesh::addTile(unsigned char *data, int dataSize, int flags, dtTileRef la;https://github.com/TrinityCore/TrinityCore.git;dtStatus dtNavMesh::addTile(unsigned char *data, int dataSize, int flags, dtTileRef la
176_medium_existing_cfg;VTK - int BaseDatabaseIO::gather_names(VariableNameMap &variables, const vtkioss_Ioss::GroupingEntit;https://github.com/Kitware/VTK.git;int BaseDatabaseIO::gather_names(VariableNameMap &variables, const vtkioss_Ioss::GroupingEntit
177_medium_existing_cfg;VTK - int vtkMNIObjectWriter::WriteValues(vtkDataArray *array);https://github.com/Kitware/VTK.git;int vtkMNIObjectWriter::WriteValues(vtkDataArray *array)
178_medium_existing_cfg;VTK - static bool vtkX3DExporterWriterRenderFaceSet(int cellType, int representation, vtkPoints *poi;https://github.com/Kitware/VTK.git;static bool vtkX3DExporterWriterRenderFaceSet(int cellType, int representation, vtkPoints *poi
179_medium_existing_cfg;VTK - template<> void vtkMINCImageWriterExecuteChunk<double, double>(double *inPtr, double *buffer, ;https://github.com/Kitware/VTK.git;template<> void vtkMINCImageWriterExecuteChunk<double, double>(double *inPtr, double *buffer, 
180_medium_existing_cfg;VTK - void vtkExodusIIReaderPrivate::PrintSelf(ostream &os, vtkIndent indent);https://github.com/Kitware/VTK.git;void vtkExodusIIReaderPrivate::PrintSelf(ostream &os, vtkIndent indent)
181_medium_existing_cfg;VTK - void vtkMFIXReader::GetAllTimes(vtkInformationVector *outputVector);https://github.com/Kitware/VTK.git;void vtkMFIXReader::GetAllTimes(vtkInformationVector *outputVector)
182_medium_existing_cfg;VTK - void vtkNewickTreeReader::CountNodes(const char *buffer, vtkIdType *numNodes);https://github.com/Kitware/VTK.git;void vtkNewickTreeReader::CountNodes(const char *buffer, vtkIdType *numNodes)
183_medium_existing_cfg;z3 - bool ge(const polynomial *p, const polynomial *q);https://github.com/Z3Prover/z3.git;bool ge(const polynomial *p, const polynomial *q)
184_medium_existing_cfg;z3 - bvsls_opt_engine::optimization_result bvsls_opt_engine::optimize(const expr_ref &objective, mod;https://github.com/Z3Prover/z3.git;bvsls_opt_engine::optimization_result bvsls_opt_engine::optimize(const expr_ref &objective, mod
185_medium_existing_cfg;z3 - lbool mus::mus1();https://github.com/Z3Prover/z3.git;lbool mus::mus1()
186_medium_existing_cfg;z3 - template<> bool is_ite_core<true>(aig *n, aig_lit &c, aig_lit &t, aig_lit &e) const;https://github.com/Z3Prover/z3.git;template<> bool is_ite_core<true>(aig *n, aig_lit &c, aig_lit &t, aig_lit &e) const
187_medium_existing_cfg;z3 - template<> void for_each_expr_core<expr_counter_proc, obj_mark<expr>, true, false>(expr_counter;https://github.com/Z3Prover/z3.git;template<> void for_each_expr_core<expr_counter_proc, obj_mark<expr>, true, false>(expr_counter
188_medium_existing_cfg;z3 - unsigned int run_update_bool_prune(unsigned int cur_depth);https://github.com/Z3Prover/z3.git;unsigned int run_update_bool_prune(unsigned int cur_depth)
189_medium_existing_cfg;z3 - void datatype_plugin::collect_path_axioms();https://github.com/Z3Prover/z3.git;void datatype_plugin::collect_path_axioms()
190_medium_existing_cfg;z3 - void run(goal &g, model_converter_ref &mc);https://github.com/Z3Prover/z3.git;void run(goal &g, model_converter_ref &mc)
203_hard_existing_cfg;Bento4 - void AP4_AvcFrameParser::CheckIfAccessUnitIsCompleted(AccessUnitInfo &access_unit_info);https://github.com/axiomatic-systems/Bento4.git;void AP4_AvcFrameParser::CheckIfAccessUnitIsCompleted(AccessUnitInfo &access_unit_info)
204_hard_existing_cfg;btop - int selection(const std::string_view cmd_key);https://github.com/aristocratos/btop.git;int selection(const std::string_view cmd_key)
205_hard_existing_cfg;btop - static int mainMenu(const string &key);https://github.com/aristocratos/btop.git;static int mainMenu(const string &key)
206_hard_existing_cfg;bullet3 - bool PhysicsServerCommandProcessor::processCalculateInverseKinematicsCommand(const struct ;https://github.com/bulletphysics/bullet3.git;bool PhysicsServerCommandProcessor::processCalculateInverseKinematicsCommand(const struct 
207_hard_existing_cfg;bullet3 - bool PhysicsServerCommandProcessor::processCalculateInverseKinematicsCommand2(const struct;https://github.com/bulletphysics/bullet3.git;bool PhysicsServerCommandProcessor::processCalculateInverseKinematicsCommand2(const struct
208_hard_existing_cfg;bullet3 - inline const char *btGeneric6DofSpring2Constraint::serialize(void *dataBuffer, btSerialize;https://github.com/bulletphysics/bullet3.git;inline const char *btGeneric6DofSpring2Constraint::serialize(void *dataBuffer, btSerialize
209_hard_existing_cfg;bullet3 - static stbi_uc *psd_load(stbi *s, int *x, int *y, int *comp, int req_comp);https://github.com/bulletphysics/bullet3.git;static stbi_uc *psd_load(stbi *s, int *x, int *y, int *comp, int req_comp)
210_hard_existing_cfg;bullet3 - static uint8 *stbi_gif_load_next(stbi *s, stbi_gif *g, int *comp, int req_comp);https://github.com/bulletphysics/bullet3.git;static uint8 *stbi_gif_load_next(stbi *s, stbi_gif *g, int *comp, int req_comp)
211_hard_existing_cfg;bullet3 - void b3ConvexHullInternal::findEdgeForCoplanarFaces(Vertex *c0, Vertex *c1, Edge *&e0, Edg;https://github.com/bulletphysics/bullet3.git;void b3ConvexHullInternal::findEdgeForCoplanarFaces(Vertex *c0, Vertex *c1, Edge *&e0, Edg
212_hard_existing_cfg;bullet3 - void HACD::ComputeEdgeCost(size_t e);https://github.com/bulletphysics/bullet3.git;void HACD::ComputeEdgeCost(size_t e)
213_hard_existing_cfg;bullet3 - void PhysicsServerCommandProcessor::deleteDynamicsWorld();https://github.com/bulletphysics/bullet3.git;void PhysicsServerCommandProcessor::deleteDynamicsWorld()
214_hard_existing_cfg;Cinder - int TwDefine(const char *_Def);https://github.com/cinder/Cinder.git;int TwDefine(const char *_Def)
215_hard_existing_cfg;Cinder - template<> void stackBlur_impl<unsigned char, int, cinder::SurfaceT<unsigned char>, (unsign;https://github.com/cinder/Cinder.git;template<> void stackBlur_impl<unsigned char, int, cinder::SurfaceT<unsigned char>, (unsign
216_hard_existing_cfg;Clipboard - void info();https://github.com/Slackadays/Clipboard.git;void info()
217_hard_existing_cfg;duckdb - static int EncodeData(BrotliEncoderStateInternal *s, const int is_last, const int force_flu;https://github.com/duckdb/duckdb.git;static int EncodeData(BrotliEncoderStateInternal *s, const int is_last, const int force_flu
218_hard_existing_cfg;duckdb - template<> inline bool DFA::InlinedSearchLoop<false, false, false>(SearchParams *params);https://github.com/duckdb/duckdb.git;template<> inline bool DFA::InlinedSearchLoop<false, false, false>(SearchParams *params)
219_hard_existing_cfg;duckdb - void duckdb_brotli::BrotliBuildAndStoreHuffmanTreeFast(HuffmanTree *tree, const uint32_t *h;https://github.com/duckdb/duckdb.git;void duckdb_brotli::BrotliBuildAndStoreHuffmanTreeFast(HuffmanTree *tree, const uint32_t *h
220_hard_existing_cfg;falco - void sinsp_parser::parse_execve_exit(sinsp_evt &evt, sinsp_parser_verdict &verdict) const;https://github.com/falcosecurity/falco.git;void sinsp_parser::parse_execve_exit(sinsp_evt &evt, sinsp_parser_verdict &verdict) const
221_hard_existing_cfg;filament - int mz_inflate2(mz_streamp pStream, int flush, int adler32_checking);https://github.com/google/filament.git;int mz_inflate2(mz_streamp pStream, int flush, int adler32_checking)
222_hard_existing_cfg;filament - int png_decoder::png_decode_start();https://github.com/google/filament.git;int png_decoder::png_decode_start()
223_hard_existing_cfg;filament - static int ParseEXRHeader(HeaderInfo *info, bool *empty_header, const EXRVersion *version;https://github.com/google/filament.git;static int ParseEXRHeader(HeaderInfo *info, bool *empty_header, const EXRVersion *version
224_hard_existing_cfg;filament - void ImGui::ErrorCheckEndWindowRecover(ImGuiErrorLogCallback log_callback, void *user_dat;https://github.com/google/filament.git;void ImGui::ErrorCheckEndWindowRecover(ImGuiErrorLogCallback log_callback, void *user_dat
225_hard_existing_cfg;filament - void ImGui::TableAngledHeadersRowEx(ImGuiID row_id, float angle, float max_label_width, c;https://github.com/google/filament.git;void ImGui::TableAngledHeadersRowEx(ImGuiID row_id, float angle, float max_label_width, c
226_hard_existing_cfg;filament - void jpeg_decoder::make_huff_table(int index, huff_tables *pH);https://github.com/google/filament.git;void jpeg_decoder::make_huff_table(int index, huff_tables *pH)
227_hard_existing_cfg;flatbuffers - void GenNativeTablePack(const StructDef &struct_def, std::string *code_ptr);https://github.com/google/flatbuffers.git;void GenNativeTablePack(const StructDef &struct_def, std::string *code_ptr)
228_hard_existing_cfg;flatbuffers - void GenStructConstructor(const StructDef &struct_def, GenArrayArgMode array_mode);https://github.com/google/flatbuffers.git;void GenStructConstructor(const StructDef &struct_def, GenArrayArgMode array_mode)
229_hard_existing_cfg;ggml - bool gpt2_model_load(const std::string &fname, gpt2_model &model, gpt_vocab &vocab, const gpt;https://github.com/ggml-org/ggml.git;bool gpt2_model_load(const std::string &fname, gpt2_model &model, gpt_vocab &vocab, const gpt
230_hard_existing_cfg;gperftools - void PageMapTest_Everything_Test::TestBody();https://github.com/gperftools/gperftools.git;void PageMapTest_Everything_Test::TestBody()
231_hard_existing_cfg;hermes - void JSLexerTest_StringTest2_Test::TestBody();https://github.com/facebook/hermes.git;void JSLexerTest_StringTest2_Test::TestBody()
232_hard_existing_cfg;kuzu - inline parsed_number_string parse_number_string(const char *p, const char *pend, const char d;https://github.com/kuzudb/kuzu.git;inline parsed_number_string parse_number_string(const char *p, const char *pend, const char d
233_hard_existing_cfg;librealsense - void ColormapScale(const char *label, double scale_min, double scale_max, const ImVec;https://github.com/IntelRealSense/librealsense.git;void ColormapScale(const char *label, double scale_min, double scale_max, const ImVec
234_hard_existing_cfg;LIEF - std::string LoadConfiguration::to_string() const;https://github.com/lief-project/LIEF.git;std::string LoadConfiguration::to_string() const
235_hard_existing_cfg;mfem - int operator()(int idx) const;https://github.com/mfem/mfem.git;int operator()(int idx) const
236_hard_existing_cfg;mfem - ND_R2D_QuadrilateralElement::ND_R2D_QuadrilateralElement(const int p, const int cb_type = Bas;https://github.com/mfem/mfem.git;ND_R2D_QuadrilateralElement::ND_R2D_QuadrilateralElement(const int p, const int cb_type = Bas
237_hard_existing_cfg;mfem - template<> void BatchedLOR_H1::Assemble3D<1>();https://github.com/mfem/mfem.git;template<> void BatchedLOR_H1::Assemble3D<1>()
238_hard_existing_cfg;mfem - void DGDiffusionIntegrator::AssembleFaceMatrix(const FiniteElement &el1, const FiniteElement ;https://github.com/mfem/mfem.git;void DGDiffusionIntegrator::AssembleFaceMatrix(const FiniteElement &el1, const FiniteElement 
239_hard_existing_cfg;mlx - template<> auto format_float<double>(double value, int precision, float_specs specs, buffer<ch;https://github.com/ml-explore/mlx.git;template<> auto format_float<double>(double value, int precision, float_specs specs, buffer<ch
240_hard_existing_cfg;mlx - void RoPE::eval_gpu(const std::vector<array> &inputs, std::vector<array> &outputs);https://github.com/ml-explore/mlx.git;void RoPE::eval_gpu(const std::vector<array> &inputs, std::vector<array> &outputs)
