id;name;|N|;|E|;avg(deg(n));|Ne|;cycles;|C|;|POSITIVE|;|ONCE|;|NEGATIVE|;|MAX_ONCE|;number_SCC;avg_SCC;CYC
33;133_medium_existing_cfg;36;50;2.78;1;4;3;0;3;0;0;15;2.40;16
34;134_medium_existing_cfg;38;51;2.68;1;5;3;0;1;1;1;7;5.43;15
35;135_medium_existing_cfg;43;61;2.84;1;2;3;0;2;0;1;19;2.26;20
36;136_medium_existing_cfg;43;60;2.79;1;1;3;0;0;1;2;8;5.38;19
37;137_medium_existing_cfg;33;50;3.03;1;1;3;0;2;0;1;21;1.57;19
38;138_medium_existing_cfg;59;98;3.32;1;0;4;0;2;0;2;59;1.00;41
39;139_medium_existing_cfg;43;60;2.79;1;3;3;2;0;0;1;37;1.16;19
40;140_medium_existing_cfg;59;74;2.51;1;13;4;0;4;0;0;33;1.79;17
41;141_medium_existing_cfg;54;75;2.78;1;8;4;0;2;1;1;38;1.42;23
42;142_medium_existing_cfg;52;77;2.96;1;0;4;2;1;1;0;52;1.00;27
43;143_medium_existing_cfg;54;85;3.15;1;1;4;1;1;0;2;13;4.15;33
44;144_medium_existing_cfg;31;42;2.71;1;1;3;1;0;1;1;29;1.07;13
45;145_medium_existing_cfg;37;52;2.81;1;2;3;1;0;1;1;7;5.29;17
46;146_medium_existing_cfg;32;44;2.75;1;2;3;1;0;1;1;13;2.46;14
47;147_medium_existing_cfg;40;52;2.60;1;7;3;1;0;1;1;20;2.00;14
48;148_medium_existing_cfg;33;45;2.73;1;4;3;0;1;2;0;18;1.83;14
49;149_medium_existing_cfg;59;78;2.64;1;12;4;1;1;0;2;30;1.97;21
50;150_medium_existing_cfg;46;58;2.52;1;11;4;0;0;2;2;13;3.54;14
51;151_medium_existing_cfg;36;46;2.56;1;9;3;0;1;0;2;8;4.50;12
52;152_medium_existing_cfg;39;58;2.97;1;2;3;1;0;0;2;31;1.26;21
53;153_medium_existing_cfg;39;51;2.62;1;6;3;1;2;0;0;6;6.50;14
54;154_medium_existing_cfg;52;74;2.85;1;9;4;0;0;2;2;14;3.71;24
55;155_medium_existing_cfg;40;55;2.75;1;3;3;0;2;1;0;15;2.67;17
56;156_medium_existing_cfg;42;56;2.67;1;6;3;1;0;1;1;8;5.25;16
57;157_medium_existing_cfg;34;47;2.76;1;4;3;0;1;1;1;23;1.48;15
58;158_medium_existing_cfg;47;65;2.77;1;4;4;1;0;1;2;20;2.35;20
59;159_medium_existing_cfg;54;72;2.67;1;14;4;1;3;0;0;10;5.40;20
60;160_medium_existing_cfg;48;63;2.63;1;0;4;2;2;0;0;48;1.00;17
61;161_medium_existing_cfg;46;64;2.78;1;6;4;0;2;2;0;16;2.88;20
62;162_medium_existing_cfg;43;66;3.07;1;0;3;0;1;0;2;43;1.00;25
63;163_medium_existing_cfg;57;83;2.91;1;3;4;2;2;0;0;51;1.12;28
64;164_medium_existing_cfg;39;55;2.82;1;3;3;0;1;2;0;25;1.56;18
65;165_medium_existing_cfg;36;53;2.94;1;2;3;0;0;1;2;13;2.77;19
66;166_medium_existing_cfg;52;71;2.73;1;5;4;1;1;1;1;39;1.33;21
67;167_medium_existing_cfg;31;44;2.84;1;2;3;0;3;0;0;12;2.58;15
68;168_medium_existing_cfg;51;72;2.82;1;4;4;2;2;0;0;29;1.76;23
69;169_medium_existing_cfg;42;59;2.81;1;5;3;2;0;1;0;28;1.50;19
70;170_medium_existing_cfg;40;75;3.75;1;0;3;0;1;2;0;40;1.00;37
71;171_medium_existing_cfg;33;49;2.97;1;1;3;0;1;0;2;22;1.50;18
72;172_medium_existing_cfg;42;58;2.76;1;2;3;1;0;1;1;13;3.23;18
73;173_medium_existing_cfg;33;42;2.55;1;2;3;0;2;1;0;29;1.14;11
74;174_medium_existing_cfg;35;49;2.80;1;2;3;1;0;1;1;9;3.89;16
75;175_medium_existing_cfg;50;68;2.72;1;5;4;1;1;1;1;36;1.39;20
76;176_medium_existing_cfg;38;55;2.89;1;4;3;0;0;2;1;17;2.24;19
77;177_medium_existing_cfg;54;80;2.96;1;5;4;1;0;1;2;24;2.25;28
78;178_medium_existing_cfg;42;59;2.81;1;4;3;0;0;0;3;22;1.91;19
79;179_medium_existing_cfg;51;68;2.67;1;8;4;2;0;0;2;8;6.38;19
80;180_medium_existing_cfg;43;55;2.56;1;10;3;1;1;1;0;14;3.07;14
81;181_medium_existing_cfg;39;53;2.72;1;3;3;1;1;0;1;32;1.22;16
82;182_medium_existing_cfg;54;78;2.89;1;8;4;3;0;0;1;15;3.60;26
83;183_medium_existing_cfg;46;68;2.96;1;1;4;1;0;3;0;12;3.83;24
84;184_medium_existing_cfg;39;56;2.87;1;2;3;1;0;1;1;11;3.55;19
85;185_medium_existing_cfg;46;67;2.91;1;2;4;2;0;1;1;14;3.29;23
86;186_medium_existing_cfg;34;50;2.94;1;0;3;1;1;0;1;34;1.00;18
87;187_medium_existing_cfg;44;63;2.86;1;6;3;1;1;0;1;10;4.40;21
88;188_medium_existing_cfg;36;51;2.83;1;5;3;1;2;0;0;7;5.14;17
89;189_medium_existing_cfg;39;57;2.92;1;3;3;1;2;0;0;7;5.57;20
90;190_medium_existing_cfg;46;65;2.83;1;3;4;0;0;0;4;20;2.30;21
91;191_medium_artificial;36;61;3.39;7;6;4;0;0;2;2;28;1.29;27
92;192_medium_artificial;51;78;3.06;14;4;3;1;1;1;0;35;1.46;29
93;193_medium_artificial;36;50;2.78;10;2;4;0;2;1;1;31;1.16;16
94;194_medium_artificial;59;109;3.69;13;11;4;0;0;1;3;26;2.27;52
95;195_medium_artificial;59;94;3.19;17;5;3;2;0;1;0;30;1.97;37
96;196_medium_artificial;48;65;2.71;15;3;4;0;1;1;2;38;1.26;19
97;197_medium_artificial;56;92;3.29;12;11;4;0;1;2;1;35;1.60;38
98;198_medium_artificial;58;94;3.24;10;6;4;1;1;1;1;32;1.81;38
99;199_medium_artificial;57;68;2.39;24;2;4;1;1;2;0;52;1.10;13
100;200_medium_artificial;58;99;3.41;12;5;4;1;1;1;1;45;1.29;43
